fid,kk,gid,bstt,luas,bsbtt,idsls,kdkab,kdkec,kdsls,nmkab,nmkec,nmsls,bstt_k,kddesa,kdprov,khusus,muatan,nmdesa,nmprov,posisi,rw_dki,segmen,sumber,dom_sls,periode,tingkat,nm_gedung,wil_campur,is_konsent,idsubsls,kdsubsls,DATA 3 DES,BumbungBangunan,AirMinumLayak,PAirMinumLayak,SanitasiLayak,PSanitasiLayak,KetahananBangunanTidakLayak,PKetahananBangunanLayak,KecukupanLuas,PKecukupanLuas,HunianTidakLayak,PHunianTidaLayak,AirMinumLayakDasar,PAirMinumLayakDasar,AirMinumAman,PAirMinumAman
403,53,5716,47,55313.92979,1,19050300100002,05,030,0002,BANGKA SELATAN,TOBOALI,RT 002 DUSUN 001,1,010,19,0,55,BIKANG,KEPULAUAN BANGKA BELITUNG,,,,BPS,"1, 1, 1, 1",2025_1,0,,0,,1905030010000200,00,DUSUN 001,142,139,97.89%,135,95%,142,100%,141,99.30%,142,100%,139,97.89%,139,97.89%
314,34,6362,27,71525.97553,2,19050300100004,05,030,0004,BANGKA SELATAN,TOBOALI,RT 001 DUSUN 002,0,010,19,0,36,BIKANG,KEPULAUAN BANGKA BELITUNG,,,,BPS,"1, 1",2025_1,0,,0,,1905030010000400,00,DUSUN 002,150,129,86.00%,149,99%,150,100%,147,98.00%,150,100%,129,86.00%,129,86.00%
594,57,6031,48,59715.4043,1,19050300100008,05,030,0008,BANGKA SELATAN,TOBOALI,RT 002 DUSUN 003,0,010,19,0,58,BIKANG,KEPULAUAN BANGKA BELITUNG,,,,BPS,"1, 1",2025_1,0,,0,,1905030010000800,00,DUSUN 003,57,56,98.25%,57,100%,57,100%,56,98.25%,57,100%,56,98.25%,56,98.25%
145,46,5543,44,93320.76824,2,19050300080016,05,030,0016,BANGKA SELATAN,TOBOALI,RT 003 DUSUN AIR BULANG,2,008,19,0,50,KAPOSANG,KEPULAUAN BANGKA BELITUNG,,,,BPS,"1, 1",2025_1,0,,0,,1905030008001600,00,DUSUN AIR BULANG,217,175,80.65%,206,95%,217,100%,209,96.31%,217,100%,152,70.05%,125,57.60%
41,34,5529,28,54126.38676,5,19050300080022,05,030,0022,BANGKA SELATAN,TOBOALI,RT 004 DUSUN HARAPAN MAKMUR,3,008,19,0,42,KAPOSANG,KEPULAUAN BANGKA BELITUNG,,,,BPS,1,2025_1,0,,0,,1905030008002200,00,DUSUN HARAPAN MAKMUR,406,381,93.84%,371,91%,406,100%,304,74.88%,406,100%,344,84.73%,323,79.56%
18,69,5850,67,221877.175,4,19050300080005,05,030,0005,BANGKA SELATAN,TOBOALI,RT 001 DUSUN HARAPAN MULIA,3,008,19,0,76,KAPOSANG,KEPULAUAN BANGKA BELITUNG,,,,BPS,"11, 11, 11",2025_1,0,,0,,1905030008000500,00,DUSUN HARAPAN MULIA,440,390,88.64%,391,89%,440,100%,321,72.95%,440,100%,390,88.64%,356,80.91%
381,81,5823,81,236602.322,15,19050300080003,05,030,0003,BANGKA SELATAN,TOBOALI,RT 003 DUSUN KEPOSANG,13,008,19,0,109,KAPOSANG,KEPULAUAN BANGKA BELITUNG,,,,BPS,"1, 1, 1, 1, 1, 1",2025_1,0,,0,,1905030008000300,00,DUSUN KEPOSANG,232,222,95.69%,191,82%,232,100%,191,82.33%,232,100%,221,95.26%,221,95.26%
550,80,5963,65,237706.7847,4,19050300140001,05,030,0001,BANGKA SELATAN,TOBOALI,RT 001 DUSUN JL.BARU,3,014,19,0,87,KEPOH,KEPULAUAN BANGKA BELITUNG,,,,BPS,"1, 1",2025_1,0,,0,,1905030014000100,00,DUSUN JL.BARU,,,,,,,,,,,,,,,
346,79,5748,79,418901.9291,22,19050300140012,05,030,0012,BANGKA SELATAN,TOBOALI,RT 002 DUSUN TAMBANG 2,3,014,19,0,104,KEPOH,KEPULAUAN BANGKA BELITUNG,,,,BPS,"1, 1, 1, 1, 1",2025_1,0,,0,,1905030014001200,00,DUSUN TAMBANG 2,,,,,,,,,,,,,,,
22,50,6460,39,21134.02921,6,19050300140009,05,030,0009,BANGKA SELATAN,TOBOALI,RT 007 DUSUN KEPOH,1,014,19,0,57,KEPOH,KEPULAUAN BANGKA BELITUNG,,,,BPS,"1, 1",2025_1,0,,0,,1905030014000900,00,DUSUN KEPOH,,,,,,,,,,,,,,,
263,0,5658,0,111716867.6,0,19050300141003,05,030,1003,BANGKA SELATAN,TOBOALI,PERKEBUNAN KARET,0,014,19,0,0,KEPOH,KEPULAUAN BANGKA BELITUNG,,,,BPS,11,2025_1,0,,0,,1905030014100300,00,PERKEBUNAN KARET,,,,,,,,,,,,,,,
